  N  	  t, c   	 X0[0]  	 X0[1]  	 X0[2]  	 X0[3]  	 X0[4]  	 X0[5]  	 X0[6]  	 X0[7]  	 X0[8]  	 X0[9]  	 X0[10]  	 X0[11]  	 V[0]   	 V[1]   	 V[2]   	 Om[0]  	 Om[1]  	 Om[2]  	 Vc[0]  	 Vc[1]  	 Vc[2]  	 rov[0] 	 rov[1] 	 rov[2] 	 Amp[0]  	 Amp[1]  	 Amp[2]  	teta,град	psi, град	fi, град 
c18	0,260000	6,860445	297,601966	0,001928	0,999998	0,001838	-0,000006	-0,001838	0,999998	0,000003	0,000006	-0,000003	1,000000	27,618110	0,054728	0,003111	0,000029	-0,000053	-0,021711	27,628005	0,004047	0,003400	0,550000	-0,870000	2,210000	-0,178673	0,042723	0,003115	-0,105333	-0,000347	-0,000166
c19	0,280000	7,412612	297,602024	0,001970	0,999997	0,002294	-0,000007	-0,002294	0,999997	0,000002	0,000007	-0,000002	1,000000	27,597845	0,066306	0,001921	0,000047	-0,000057	-0,024209	27,607597	0,002911	0,002071	0,550000	-0,870000	-2,210000	-0,200869	0,053094	0,001912	-0,131445	-0,000410	-0,000125
c20	0,280000	7,412612	297,602024	0,001970	0,999997	0,002294	-0,000007	-0,002294	0,999997	0,000002	0,000007	-0,000002	1,000000	27,597845	0,066306	0,001921	0,000047	-0,000057	-0,024209	27,607597	0,002911	0,002071	0,550000	-0,870000	2,210000	-0,201120	0,052887	0,001912	-0,131445	-0,000410	-0,000125
p1	0,500000	13,483199	297,603841	0,003401	0,999970	0,007779	-0,000034	-0,007779	0,999970	-0,000019	0,000034	0,000019	1,000000	27,597219	0,228332	0,010122	0,000145	-0,000203	-0,024366	27,598110	0,013592	0,011024	0,550000	-0,870000	-2,850000	-0,201178	0,215345	0,010108	-0,445711	-0,001966	0,001071
p2	0,525000	14,173050	297,604176	0,003669	0,999965	0,008399	0,000001	-0,008399	0,999965	-0,000023	-0,000001	0,000023	1,000000	27,587086	0,243116	0,008598	0,000158	0,003008	-0,025212	27,588434	0,011530	0,008711	0,550000	-0,870000	2,850000	-0,204054	0,228801	0,006807	-0,481223	0,000043	0,001309
p3	0,550000	14,862514	297,604414	0,003832	0,999959	0,009053	0,000076	-0,009053	0,999959	-0,000027	-0,000076	0,000027	1,000000	27,569415	0,258860	0,008157	0,000150	0,003012	-0,027100	27,570898	0,009235	0,006038	0,550000	-0,870000	-2,850000	-0,240525	0,244381	0,006370	-0,518684	0,004354	0,001569
p4	0,575000	15,551497	297,604650	0,003982	0,999952	0,009767	0,000191	-0,009767	0,999952	-0,000031	-0,000192	0,000029	1,000000	27,544994	0,277141	0,009689	0,000040	0,006237	-0,030036	27,546961	0,008207	0,004537	0,550000	-0,870000	2,850000	-0,241141	0,260505	0,006224	-0,559608	0,010980	0,001789
p5	0,600000	16,239747	297,604802	0,004033	0,999945	0,010492	0,000122	-0,010492	0,999945	-0,000034	-0,000122	0,000032	1,000000	27,515573	0,294510	0,004575	0,000238	-0,011893	-0,028039	27,517556	0,005726	0,001186	0,550000	-0,870000	-2,850000	-0,252703	0,279766	0,010909	-0,601185	0,006993	0,001929
p6	0,625000	16,927352	297,604987	0,004093	0,999938	0,011169	0,000049	-0,011169	0,999938	-0,000032	-0,000049	0,000032	1,000000	27,490261	0,315053	0,003903	-0,000237	0,006140	-0,026021	27,492573	0,008024	0,002611	0,550000	-0,870000	2,850000	-0,292657	0,301417	0,000733	-0,639951	0,002827	0,001857
p7	0,650000	17,614267	297,605168	0,004119	0,999930	0,011793	-0,000025	-0,011793	0,999930	-0,000030	0,000024	0,000030	1,000000	27,462220	0,331663	0,000074	0,000139	-0,012115	-0,023947	27,464608	0,007671	0,000687	0,550000	-0,870000	-2,850000	-0,301864	0,318887	0,006617	-0,675726	-0,001388	0,001722
p8	0,675000	18,300583	297,605444	0,004200	0,999924	0,012367	-0,000104	-0,012367	0,999924	-0,000027	0,000103	0,000028	1,000000	27,440059	0,353163	0,002350	-0,000274	0,005861	-0,021847	27,442760	0,013736	0,005171	0,550000	-0,870000	2,850000	-0,340022	0,341927	-0,000635	-0,708573	-0,005915	0,001542
p9	0,700000	18,986279	297,605804	0,004318	0,999917	0,012885	-0,000186	-0,012885	0,999917	-0,000026	0,000185	0,000028	1,000000	27,413259	0,368740	-0,000477	0,000286	-0,012526	-0,019675	27,416129	0,015376	0,004562	0,550000	-0,870000	-2,850000	-0,345936	0,358736	0,006163	-0,738302	-0,010622	0,001476
p10	0,725000	19,671390	297,606288	0,004502	0,999911	0,013350	-0,000276	-0,013350	0,999911	-0,000027	0,000275	0,000031	1,000000	27,392164	0,388962	0,002512	-0,000058	0,005393	-0,017462	27,395305	0,023116	0,010006	0,550000	-0,870000	2,850000	-0,385434	0,379522	-0,000404	-0,764950	-0,015780	0,001541
