  t, c   	 X0[0]  	 X0[1]  	 X0[2]  	 X0[3]  	 X0[4]  	 X0[5]  	 X0[6]  	 X0[7]  	 X0[8]  	 X0[9]  	 X0[10]  	 X0[11]  	 V[0]   	 V[1]   	 V[2]   	 Om[0]  	 Om[1]  	 Om[2]  	 Vc[0]  	 Vc[1]  	 Vc[2]  	 Amp[0][0] 	 Amp[0][1] 	 Amp[0][2] 	 Amp[1][0] 	 Amp[1][1] 	 Amp[1][2] 	 Amp[2][0] 	 Amp[2][1] 	 Amp[2][2] 	 Amp[3][0] 	 Amp[3][1] 	 Amp[3][2] 	 Amp[4][0] 	 Amp[4][1] 	 Amp[4][2] 	 Amp[5][0] 	 Amp[5][1] 	 Amp[5][2] 	teta,град	psi, град	fi, град 
0,060000	1,316815	297,600148	0,000148	1,000000	0,000001	0,000000	-0,000001	1,000000	0,000000	0,000000	0,000000	1,000000	27,781412	0,003655	0,003631	-0,000012	-0,000008	-0,000025	27,781313	0,003535	0,003534	0,003639	0,003600	0,003646	0,003635	0,003608	0,003646	0,003630	0,003615	0,003646	0,003596	0,003668	0,003646	0,003591	0,003676	0,003646	0,003586	0,003683	0,003646	-0,000044	-0,000005	0,000002
0,065000	1,455725	297,600169	0,000169	1,000000	0,000001	0,000000	-0,000001	1,000000	0,000000	0,000000	0,000000	1,000000	27,782620	0,004867	0,004838	-0,000011	-0,000008	-0,000031	27,782488	0,004710	0,004709	0,004844	0,004812	0,004852	0,004839	0,004819	0,004852	0,004834	0,004826	0,004852	0,004798	0,004875	0,004852	0,004792	0,004882	0,004852	0,004788	0,004889	0,004852	-0,000052	-0,000007	-0,000001
0,070000	1,594641	297,600196	0,000196	1,000000	0,000001	0,000000	-0,000001	1,000000	0,000000	0,000000	0,000000	1,000000	27,783947	0,006199	0,006164	-0,000010	-0,000009	-0,000037	27,783817	0,006039	0,006039	0,006166	0,006144	0,006177	0,006161	0,006150	0,006177	0,006155	0,006156	0,006177	0,006118	0,006200	0,006177	0,006112	0,006206	0,006177	0,006107	0,006212	0,006177	-0,000061	-0,000010	-0,000004
0,075000	1,733564	297,600230	0,000230	1,000000	0,000001	0,000000	-0,000001	1,000000	0,000000	0,000000	0,000000	1,000000	27,785145	0,007402	0,007360	-0,000009	-0,000009	-0,000043	27,785037	0,007259	0,007258	0,007361	0,007347	0,007373	0,007355	0,007352	0,007373	0,007349	0,007358	0,007373	0,007309	0,007399	0,007373	0,007304	0,007404	0,007373	0,007298	0,007410	0,007373	-0,000073	-0,000012	-0,000007
0,080000	1,872492	297,600269	0,000269	1,000000	0,000002	0,000000	-0,000002	1,000000	0,000000	0,000000	0,000000	1,000000	27,785946	0,008210	0,008161	-0,000010	-0,000010	-0,000048	27,785888	0,008110	0,008109	0,008162	0,008149	0,008175	0,008156	0,008155	0,008175	0,008149	0,008162	0,008175	0,008105	0,008206	0,008175	0,008099	0,008213	0,008175	0,008093	0,008219	0,008175	-0,000086	-0,000015	-0,000010
0,085000	2,011422	297,600311	0,000311	1,000000	0,000002	0,000000	-0,000002	1,000000	0,000000	0,000000	0,000000	1,000000	27,786283	0,008554	0,008496	-0,000013	-0,000011	-0,000051	27,786269	0,008491	0,008490	0,008500	0,008481	0,008513	0,008494	0,008489	0,008513	0,008486	0,008497	0,008513	0,008436	0,008554	0,008513	0,008428	0,008562	0,008513	0,008421	0,008570	0,008513	-0,000100	-0,000018	-0,000013
0,090000	2,150354	297,600354	0,000354	1,000000	0,000002	0,000000	-0,000002	1,000000	0,000000	0,000000	0,000000	1,000000	27,786173	0,008451	0,008384	-0,000017	-0,000013	-0,000052	27,786200	0,008422	0,008421	0,008396	0,008362	0,008406	0,008388	0,008372	0,008406	0,008379	0,008384	0,008406	0,008320	0,008460	0,008406	0,008312	0,008471	0,008406	0,008304	0,008482	0,008406	-0,000115	-0,000021	-0,000017
0,095000	2,289284	297,600395	0,000395	1,000000	0,000002	0,000000	-0,000002	1,000000	0,000000	0,000000	0,000000	1,000000	27,785847	0,008132	0,008056	-0,000023	-0,000015	-0,000053	27,785881	0,008103	0,008103	0,008076	0,008025	0,008084	0,008067	0,008038	0,008084	0,008057	0,008053	0,008084	0,007989	0,008153	0,008084	0,007979	0,008168	0,008084	0,007970	0,008181	0,008084	-0,000130	-0,000026	-0,000023
0,100000	2,428212	297,600434	0,000434	1,000000	0,000003	-0,000001	-0,000003	1,000000	0,000001	0,000001	-0,000001	1,000000	27,775228	0,007842	0,007744	-0,000028	-0,000017	-0,001494	27,784972	0,007784	0,007782	-0,003790	0,006925	0,007778	-0,003800	0,006941	0,007778	-0,003811	0,006959	0,007778	-0,003887	0,007082	0,007778	-0,003898	0,007099	0,007778	-0,003908	0,007116	0,007778	-0,000150	-0,000030	-0,000030
0,105000	2,567048	297,600473	0,000473	1,000000	0,000015	-0,000001	-0,000015	1,000000	0,000001	0,000001	-0,000001	1,000000	27,766459	0,008205	0,007736	-0,000032	-0,000019	-0,002597	27,766441	0,007757	0,007735	-0,013514	0,006667	0,007774	-0,013525	0,006686	0,007774	-0,013537	0,006706	0,007774	-0,013619	0,006847	0,007774	-0,013631	0,006867	0,007774	-0,013642	0,006886	0,007774	-0,000887	-0,000035	-0,000039
