y(ì);tau(K);k1;k2
0;288,9;-6,33E-03;0
9300;230;-6,33E-03;1,17E-06
12000;221,5;0;0
27000;221,5;2,80E-03;2,80E-06
32000;228,5;2,75E-03;0
47300;270,6;0;0
